country,year,age,total
Gambia,2023,0,86854
Gambia,2023,1,85379
Gambia,2023,2,84016
Gambia,2023,3,82674
Gambia,2023,4,81516
Gambia,2023,5,80593
Gambia,2023,6,79825
Gambia,2023,7,79144
Gambia,2023,8,78439
Gambia,2023,9,77573
Gambia,2023,10,76468
Gambia,2023,11,74971
Gambia,2023,12,73151
Gambia,2023,13,71212
Gambia,2023,14,69210
Gambia,2023,15,67174
Gambia,2023,16,65155
Gambia,2023,17,62745
Gambia,2023,18,60228
Gambia,2023,19,57995
Gambia,2023,20,55430
Gambia,2023,21,53075
Gambia,2023,22,51181
Gambia,2023,23,49334
Gambia,2023,24,47660
Gambia,2023,25,45785
Gambia,2023,26,43807
Gambia,2023,27,42096
Gambia,2023,28,40635
Gambia,2023,29,39359
Gambia,2023,30,38094
Gambia,2023,31,36724
Gambia,2023,32,35302
Gambia,2023,33,33922
Gambia,2023,34,32700
Gambia,2023,35,31576
Gambia,2023,36,30488
Gambia,2023,37,29406
Gambia,2023,38,28339
Gambia,2023,39,27288
Gambia,2023,40,26308
Gambia,2023,41,25407
Gambia,2023,42,24497
Gambia,2023,43,23599
Gambia,2023,44,22738
Gambia,2023,45,21916
Gambia,2023,46,21131
Gambia,2023,47,20371
Gambia,2023,48,19634
Gambia,2023,49,18906
Gambia,2023,50,18142
Gambia,2023,51,17361
Gambia,2023,52,16613
Gambia,2023,53,15901
Gambia,2023,54,15185
Gambia,2023,55,14469
Gambia,2023,56,13744
Gambia,2023,57,13029
Gambia,2023,58,12310
Gambia,2023,59,11565
Gambia,2023,60,10800
Gambia,2023,61,10015
Gambia,2023,62,9230
Gambia,2023,63,8459
Gambia,2023,64,7713
Gambia,2023,65,7003
Gambia,2023,66,6330
Gambia,2023,67,5713
Gambia,2023,68,5153
Gambia,2023,69,4643
Gambia,2023,70,4181
Gambia,2023,71,3764
Gambia,2023,72,3381
Gambia,2023,73,2984
Gambia,2023,74,2791
Gambia,2023,75,2809
Gambia,2023,76,2727
Gambia,2023,77,2516
Gambia,2023,78,2259
Gambia,2023,79,1986
Gambia,2023,80,1718
Gambia,2023,81,1468
Gambia,2023,82,1244
Gambia,2023,83,1044
Gambia,2023,84,862
Gambia,2023,85,701
Gambia,2023,86,564
Gambia,2023,87,449
Gambia,2023,88,351
Gambia,2023,89,272
Gambia,2023,90,207
Gambia,2023,91,153
Gambia,2023,92,111
Gambia,2023,93,78
Gambia,2023,94,53
Gambia,2023,95,36
Gambia,2023,96,23
Gambia,2023,97,14
Gambia,2023,98,8
Gambia,2023,99,5
Gambia,2023,100,5
